ID;RK;PICK;CLASS;Height;PLAYER;Min_RecRk;TEAM;CONF;G;ROLE;MIN_PER;PRPG;D_PRPG;BPM;OBPM;DBPM;ORTG;D_RTG;USG;EFG;TS;OR;DR;AST;TO;A_TO;BLK;STL;FTR;FC_40;Dunks;CLOSE2;CLOSE2_PER;FAR 2; FAR2_PER;FT;FT_PER;2P;2P_PER;3P_100;3P;3P_PER;AST;REB;PTS;Dunks_M;Dunks_A;Close2_M;Close2_A;FAR2_M;FAR2_A;FTM;FTA;2PM;2PA;3PM;3PA;Year
15;12.17;-;Jr;06/abr;Ville Tahvanainen;0;Bradley;MVC;27;Wing G;51.7;1.1;2.2;0.9;0.7;0.2;105.1;99.8;16.0;48.3;50.8;4.5;8.4;6.0;13.7;0.9;0.9;1.4;11.9;2.2;0-0;ago/23;.348;out/31;.323;19-21;.905;18-54;.333;11.7;45-123;.366;0.8;2.5;7.1;;;;;;;;;;;;;
16;12.36;-;So;06/abr;Cooper Kaifes;15.6;Samford;SC;27;Wing G;61.2;0.4;1.8;-1.0;-0.4;-0.6;102.0;107.8;12.6;49.7;51.0;3.6;12.1;9.4;19.8;1.2;0.2;1.5;10.5;1.9;0-0;ago/15;.533;03/mai;.600;nov/15;.733;nov/20;.550;9.9;40-123;.325;1.3;3.4;6.1;;;;;;;;;;;;;
17;12.36;-;Sr;06/fev;Mardrez McBride;0;North Texas;CUSA;30;Wing G;86.4;2.4;3.8;3.3;2.3;1.0;110.5;95.9;16.9;55.8;56.3;1.9;8.9;7.2;13.5;1.0;0.3;1.5;17.6;1.5;04/abr;32-49;.653;set/41;.220;29-49;.592;41-89;.461;11.9;76-189;.402;1.1;3.0;11.3;;;;;;;;;;;;;
18;12.45;-;Sr;06/mai;Trae Berhow;0;Northern Iowa;MVC;29;Wing G;79.4;2.0;2.9;1.0;1.1;-0.1;107.7;103.2;15.2;55.6;57.7;2.6;16.1;5.4;13.9;0.8;0.1;1.6;16.6;2.7;06/jun;36-51;.706;ago/34;.235;32-40;.800;44-85;.518;9.2;60-156;.385;1.0;5.2;10.3;;;;;;;;;;;;;
19;12.53;-;Jr;06/abr;Darin Green Jr.;2.4;UCF;Amer;29;Combo G;74.3;3.1;2.5;2.6;3.4;-0.7;109.7;103.9;20.2;53.0;54.2;2.8;6.7;11.3;11.1;1.4;0.8;1.4;11.9;2.4;03/mar;14-21;.667;34-90;.378;29-40;.725;48-111;.432;14.9;87-226;.385;1.6;2.6;13.3;;;;;;;;;;;;;
20;12.56;-;Jr;06/jul;Philmon Gebrewhit;0;DePaul;BE;31;Wing G;57.5;0.2;1.9;-2.8;-2.6;-0.2;94.6;103.8;12.9;42.8;46.5;2.7;7.5;9.1;19.6;1.2;0.4;1.4;22.1;3.0;01/jan;16-37;.432;out/21;.476;25-32;.781;26-58;.448;6.9;24-87;.276;1.2;2.2;4.8;;;;;;;;;;;;;
21;12.63;-;So;06/jul;Brendan Wenzel;0;Wyoming;MWC;33;Wing F;56.8;1.2;2.2;1.9;0.8;1.2;111.2;99.0;12.0;55.5;59.0;4.0;10.5;3.9;16.6;0.7;0.3;1.0;32.3;2.5;02/fev;dez/19;.632;03/mai;.600;32-41;.780;15-24;.625;8.2;37-103;.359;0.5;2.9;5.2;;;;;;;;;;;;;
22;12.81;-;So;06/abr;Xavier DuSell;0;Wyoming;MWC;29;Wing G;61.0;0.5;2.7;-0.7;-1.9;1.1;96.1;99.3;14.4;46.2;48.5;0.6;8.9;5.6;12.8;1.1;0.4;1.0;15.2;4.0;02/fev;13-24;.542;jun/18;.333;23-30;.767;19-42;.452;11.4;48-155;.310;1.0;2.3;7.5;;;;;;;;;;;;;
23;13.07;-;Jr;06/mai;Parker Stewart;45.6;Indiana;B10;34;Wing G;58.7;0.8;2.6;0.1;-1.2;1.2;102.0;96.4;13.0;51.6;52.7;0.7;9.0;7.2;13.1;1.4;0.3;1.0;15.0;4.2;0-0;jun/15;.400;nov/37;.297;18-28;.643;17-52;.327;9.6;53-135;.393;1.0;2.1;6.2;;;;;;;;;;;;;
24;13.38;-;Sr;06/jul;Justin Minaya;37.6;Providence;BE;32;Wing F;79.0;1.5;3.6;3.6;1.2;2.4;106.2;95.4;12.4;50.6;51.4;7.1;11.6;9.1;17.5;1.3;2.6;1.5;23.8;2.6;06/jul;36-57;.632;jun/20;.300;24-43;.558;42-77;.545;5.9;33-104;.317;1.6;5.5;6.5;;;;;;;;;;;;;
